region	chr	midPos	Nsites
(3580,6960)(381872,399872)(350000,400000)	JASDQU010100903.1	375000	3382	0.160491
(996,2264)(122802,124136)(100000,150000)	JASDQU010100909.1	125000	1270	0.072498
(25,938)(82584,83561)(50000,100000)	JASDQU010100916.1	75000	915	0.114467
(939,2145)(109706,131625)(100000,150000)	JASDQU010100916.1	125000	1208	0.013688
(126,358)(91538,91866)(50000,100000)	JASDQU010100917.1	75000	234	0.068711
(359,604)(153565,196669)(150000,200000)	JASDQU010100917.1	175000	247	0.033140
(605,1077)(534052,534525)(500000,550000)	JASDQU010100917.1	525000	474	0.177463
(1078,1564)(646979,647467)(600000,650000)	JASDQU010100917.1	625000	488	0.448385
(1565,3290)(664733,666466)(650000,700000)	JASDQU010100917.1	675000	1727	0.064645
(1231,1693)(59638,60149)(50000,100000)	JASDQU010100919.1	75000	464	0.111243
(104,115)(86982,86995)(50000,100000)	JASDQU010100922.1	75000	13	0.036271
(116,4358)(104023,112096)(100000,150000)	JASDQU010100922.1	125000	4244	0.306388
(4359,4833)(320227,320744)(300000,350000)	JASDQU010100922.1	325000	476	0.397619
(4834,9986)(374202,379382)(350000,400000)	JASDQU010100922.1	375000	5154	0.159265
(9987,13235)(451282,455801)(450000,500000)	JASDQU010100922.1	475000	3250	0.150349
(606,6084)(253968,273540)(250000,300000)	JASDQU010100939.1	275000	5480	0.256864
(6085,6498)(310768,336947)(300000,350000)	JASDQU010100939.1	325000	415	0.079527
(557,568)(58391,58404)(50000,100000)	JASDQU010100941.1	75000	13	0.085603
(569,1379)(121748,122572)(100000,150000)	JASDQU010100941.1	125000	812	0.387859
(418,438)(496891,496967)(450000,500000)	JASDQU010100944.1	475000	22	0.126133
(439,460)(565641,565667)(550000,600000)	JASDQU010100944.1	575000	23	0.019311
(461,474)(703916,703975)(700000,750000)	JASDQU010100944.1	725000	15	0.031638
(475,802)(834222,844098)(800000,850000)	JASDQU010100944.1	825000	329	0.032205
(803,1085)(954485,954841)(950000,1000000)	JASDQU010100944.1	975000	284	0.349226
(1086,1378)(1063476,1065816)(1050000,1100000)	JASDQU010100944.1	1075000	294	0.012871
(536,885)(180804,181282)(150000,200000)	JASDQU010100948.1	175000	351	0.019137
(886,1155)(258102,258482)(250000,300000)	JASDQU010100948.1	275000	271	0.007169
(1156,1179)(306118,306146)(300000,350000)	JASDQU010100948.1	325000	25	-0.003564
(1180,1255)(688037,688128)(650000,700000)	JASDQU010100948.1	675000	77	0.020831
(22,1101)(196210,197752)(150000,200000)	JASDQU010100952.1	175000	1081	0.151619
(374,376)(136922,136924)(100000,150000)	JASDQU010100953.1	125000	4	0.032391
(377,619)(188157,195470)(150000,200000)	JASDQU010100953.1	175000	244	0.342454
(620,846)(223216,223460)(200000,250000)	JASDQU010100953.1	225000	228	0.008855
(390,651)(178373,178804)(150000,200000)	JASDQU010100954.1	175000	263	0.013081
(1380,1853)(107313,143590)(100000,150000)	JASDQU010100955.1	125000	475	0.140184
(1854,1969)(159510,159647)(150000,200000)	JASDQU010100955.1	175000	117	0.105068
(1970,2955)(251152,272760)(250000,300000)	JASDQU010100955.1	275000	987	0.232364
(566,658)(183173,183276)(150000,200000)	JASDQU010100961.1	175000	94	0.286872
(659,1078)(215695,216118)(200000,250000)	JASDQU010100961.1	225000	421	0.013130
(1079,1214)(257251,265012)(250000,300000)	JASDQU010100961.1	275000	137	-0.006301
(1215,1928)(370003,397226)(350000,400000)	JASDQU010100961.1	375000	715	0.299425
(33,1206)(152400,192660)(150000,200000)	JASDQU010100965.1	175000	1175	0.393642
(1207,1989)(293279,294082)(250000,300000)	JASDQU010100965.1	275000	784	0.305640
(1990,2199)(372623,372908)(350000,400000)	JASDQU010100965.1	375000	211	0.335013
(2200,3150)(414955,444885)(400000,450000)	JASDQU010100965.1	425000	952	0.758185
(23,156)(169765,169904)(150000,200000)	JASDQU010100966.1	175000	135	0.027711
(942,1154)(619402,619704)(600000,650000)	JASDQU010100967.1	625000	214	0.402068
(736,1317)(292163,297280)(250000,300000)	JASDQU010100968.1	275000	583	0.137968
(811,2254)(263388,264842)(250000,300000)	JASDQU010100972.1	275000	1445	0.108111
(516,599)(501706,501804)(500000,550000)	JASDQU010100976.1	525000	85	0.032311
(640,3778)(311326,317403)(300000,350000)	JASDQU010100981.1	325000	3140	0.278708
(568,993)(130850,131299)(100000,150000)	JASDQU010100982.1	125000	427	0.200739
(867,3058)(56408,78927)(50000,100000)	JASDQU010100985.1	75000	2193	0.327289
(3059,4453)(171078,198000)(150000,200000)	JASDQU010100985.1	175000	1396	0.306823
(137,1988)(275719,279557)(250000,300000)	JASDQU010100991.1	275000	1853	0.368827
(449,454)(357305,357324)(350000,400000)	JASDQU010101000.1	375000	7	0.035961
(219,423)(223332,223545)(200000,250000)	JASDQU010101002.1	225000	206	0.032963
(173,1135)(196262,197242)(150000,200000)	JASDQU010101005.1	175000	964	0.281568
(1136,1202)(357316,357399)(350000,400000)	JASDQU010101005.1	375000	68	0.031785
(1203,1818)(469051,469687)(450000,500000)	JASDQU010101005.1	475000	617	0.645108
(1819,2690)(557082,558275)(550000,600000)	JASDQU010101005.1	575000	873	0.732783
(148,946)(407608,408483)(400000,450000)	JASDQU010101016.1	425000	800	0.116005
(947,2158)(473520,484472)(450000,500000)	JASDQU010101016.1	475000	1213	0.060245
(2159,2504)(650431,650785)(650000,700000)	JASDQU010101016.1	675000	347	0.007545
(535,1594)(321720,323735)(300000,350000)	JASDQU010101017.1	325000	1061	0.476723
(1375,1607)(378750,378983)(350000,400000)	JASDQU010101028.1	375000	234	0.007597
(146,735)(287272,287903)(250000,300000)	JASDQU010101029.1	275000	591	0.277720
(649,875)(116612,135083)(100000,150000)	JASDQU010101034.1	125000	228	0.276572
(876,1240)(207761,208134)(200000,250000)	JASDQU010101034.1	225000	366	0.014661
(1241,1242)(390174,390175)(350000,400000)	JASDQU010101034.1	375000	3	0.031610
(431,696)(282811,283148)(250000,300000)	JASDQU010101035.1	275000	267	0.024875
(697,1539)(356769,373259)(350000,400000)	JASDQU010101035.1	375000	844	0.121432
(207,388)(122886,123077)(100000,150000)	JASDQU010101037.1	125000	183	0.047335
(134,804)(103892,104616)(100000,150000)	JASDQU010101040.1	125000	672	0.031256
(805,2348)(243599,249999)(200000,250000)	JASDQU010101040.1	225000	1545	0.412086
(2349,3007)(250000,250662)(250000,300000)	JASDQU010101040.1	275000	660	0.437897
(419,511)(189341,189445)(150000,200000)	JASDQU010101042.1	175000	94	0.099311
(2967,3374)(201689,202137)(200000,250000)	JASDQU010101043.1	225000	409	0.286166
(333,1116)(622662,624840)(600000,650000)	JASDQU010101053.1	625000	785	0.277797
(54,141)(53208,99893)(50000,100000)	JASDQU010101055.1	75000	89	0.084433
(142,778)(113086,113740)(100000,150000)	JASDQU010101055.1	125000	638	0.525098
(2448,2525)(243428,243538)(200000,250000)	JASDQU010101056.1	225000	79	0.027581
(68,4308)(108769,140469)(100000,150000)	JASDQU010101060.1	125000	4242	0.572803
(4309,4560)(201688,201940)(200000,250000)	JASDQU010101060.1	225000	253	0.037283
(1529,2150)(412772,413425)(400000,450000)	JASDQU010101061.1	425000	623	0.347418
(372,391)(103678,103785)(100000,150000)	JASDQU010101063.1	125000	21	-0.012667
(254,3210)(50000,85606)(50000,100000)	JASDQU010101066.1	75000	2958	0.577022
(413,474)(187211,187288)(150000,200000)	JASDQU010101070.1	175000	63	0.037419
(1722,2041)(389875,393545)(350000,400000)	JASDQU010101073.1	375000	321	0.055503
(2042,2681)(437034,437814)(400000,450000)	JASDQU010101073.1	425000	641	0.013226
(4056,4343)(217160,217504)(200000,250000)	JASDQU010101076.1	225000	289	0.078236
(371,2268)(384882,387953)(350000,400000)	JASDQU010101080.1	375000	1899	0.222596
(1293,1300)(345333,345343)(300000,350000)	JASDQU010101081.1	325000	9	0.038846
(1301,1902)(355234,366582)(350000,400000)	JASDQU010101081.1	375000	603	0.023909
(1903,2235)(418722,428774)(400000,450000)	JASDQU010101081.1	425000	334	0.035629
(2236,3041)(455652,497472)(450000,500000)	JASDQU010101081.1	475000	807	0.020610
(3042,3576)(502931,514128)(500000,550000)	JASDQU010101081.1	525000	536	0.022758
(194,966)(155630,181255)(150000,200000)	JASDQU010101084.1	175000	774	0.268737
(967,1446)(287616,288199)(250000,300000)	JASDQU010101084.1	275000	481	0.030643
(1447,1453)(481925,481932)(450000,500000)	JASDQU010101084.1	475000	8	0.041985
(1454,3298)(546089,549999)(500000,550000)	JASDQU010101084.1	525000	1846	0.482996
(43,648)(401472,402126)(400000,450000)	JASDQU010101099.1	425000	607	0.025588
(649,1401)(548101,548866)(500000,550000)	JASDQU010101099.1	525000	754	0.159167
(1090,1316)(515620,516130)(500000,550000)	JASDQU010101103.1	525000	228	0.039135
(1317,1942)(836596,837724)(800000,850000)	JASDQU010101103.1	825000	627	-0.006663
(1943,2307)(1217416,1241549)(1200000,1250000)	JASDQU010101103.1	1225000	366	0.035945
(4148,4743)(405707,423489)(400000,450000)	JASDQU010101105.1	425000	597	0.032429
(11,935)(96728,97658)(50000,100000)	JASDQU010101106.1	75000	926	0.202935
(352,497)(515112,515259)(500000,550000)	JASDQU010101110.1	525000	147	0.028637
(411,1083)(88426,89218)(50000,100000)	JASDQU010101116.1	75000	674	0.009505
(1084,1753)(118921,121639)(100000,150000)	JASDQU010101116.1	125000	671	0.022969
(670,822)(55651,55814)(50000,100000)	JASDQU010101118.1	75000	154	0.042399
(74,634)(244681,245259)(200000,250000)	JASDQU010101120.1	225000	562	0.180944
(86,1521)(252236,273767)(250000,300000)	JASDQU010101121.1	275000	1437	0.008007
(1522,1644)(410937,411235)(400000,450000)	JASDQU010101121.1	425000	124	0.075437
(5276,5318)(280251,280294)(250000,300000)	JASDQU010101138.1	275000	44	0.004444
(5319,5685)(371221,374246)(350000,400000)	JASDQU010101138.1	375000	368	0.022710
(5686,6029)(432055,432611)(400000,450000)	JASDQU010101138.1	425000	345	0.036059
(6030,6381)(662781,699999)(650000,700000)	JASDQU010101138.1	675000	353	0.084028
(6382,6384)(700000,700002)(700000,750000)	JASDQU010101138.1	725000	4	0.028068
(42,661)(679042,679675)(650000,700000)	JASDQU010101140.1	675000	621	0.101457
(165,1599)(290824,292300)(250000,300000)	JASDQU010101142.1	275000	1436	0.122094
(426,607)(280956,291981)(250000,300000)	JASDQU010101145.1	275000	183	0.104118
(608,2338)(390584,392585)(350000,400000)	JASDQU010101145.1	375000	1732	0.496108
(386,859)(155345,155961)(150000,200000)	JASDQU010101151.1	175000	475	0.023562
(860,974)(217560,217691)(200000,250000)	JASDQU010101151.1	225000	116	0.116230
(975,1395)(344199,344855)(300000,350000)	JASDQU010101151.1	325000	422	0.020871
(1396,3434)(353514,383350)(350000,400000)	JASDQU010101151.1	375000	2040	0.090459
(3435,3682)(449057,449350)(400000,450000)	JASDQU010101151.1	425000	249	0.219115
(1063,4972)(226381,241581)(200000,250000)	JASDQU010101163.1	225000	3911	0.425741
(4973,5645)(260780,291735)(250000,300000)	JASDQU010101163.1	275000	674	0.121257
(5646,5658)(318558,318599)(300000,350000)	JASDQU010101163.1	325000	14	0.041791
(5659,6335)(351339,352047)(350000,400000)	JASDQU010101163.1	375000	678	0.303855
(135,466)(148089,148535)(100000,150000)	JASDQU010101179.1	125000	333	0.149828
(2223,2584)(54047,55946)(50000,100000)	JASDQU010101181.1	75000	363	0.041535
(158,740)(290916,291512)(250000,300000)	JASDQU010101193.1	275000	584	0.349611
(100,799)(185171,185902)(150000,200000)	JASDQU010101194.1	175000	701	0.249535
(262,3709)(50000,70656)(50000,100000)	JASDQU010101197.1	75000	3449	0.123999
(361,479)(556671,556834)(550000,600000)	JASDQU010101207.1	575000	120	0.280820
(480,779)(600650,600964)(600000,650000)	JASDQU010101207.1	625000	301	0.008485
(3902,4471)(181825,182558)(150000,200000)	JASDQU010101220.1	175000	571	0.021993
(98,707)(60791,89073)(50000,100000)	JASDQU010101221.1	75000	611	0.238244
(286,2588)(86495,94149)(50000,100000)	JASDQU010101222.1	75000	2304	0.248350
(96,408)(121391,121825)(100000,150000)	JASDQU010101225.1	125000	314	0.006032
(409,1103)(303155,327946)(300000,350000)	JASDQU010101225.1	325000	696	0.093461
(339,907)(347930,348533)(300000,350000)	JASDQU010101228.1	325000	570	0.056520
(280,870)(58550,59198)(50000,100000)	JASDQU010101229.1	75000	592	0.520286
(4,322)(266876,267196)(250000,300000)	JASDQU010101235.1	275000	320	0.397814
(31,919)(113766,148986)(100000,150000)	JASDQU010101241.1	125000	890	0.059928
(55,55)(99582,99582)(50000,100000)	JASDQU010101248.1	75000	2	0.034861
(56,85)(281885,281927)(250000,300000)	JASDQU010101248.1	275000	31	0.015106
(1849,3119)(212041,213435)(200000,250000)	JASDQU010101249.1	225000	1272	0.066777
(53,324)(214366,214795)(200000,250000)	JASDQU010101253.1	225000	273	0.011699
(325,4546)(316243,341550)(300000,350000)	JASDQU010101253.1	325000	4223	0.166918
(4547,4747)(368392,368612)(350000,400000)	JASDQU010101253.1	375000	202	0.034426
(4748,4770)(432431,432463)(400000,450000)	JASDQU010101253.1	425000	24	0.106073
(226,1102)(312492,313386)(300000,350000)	JASDQU010101255.1	325000	878	0.079229
(2031,2140)(135452,135583)(100000,150000)	JASDQU010101259.1	125000	111	0.215766
(37,248)(545529,545750)(500000,550000)	JASDQU010101260.1	525000	213	0.084869
(832,1000)(103380,103634)(100000,150000)	JASDQU010101262.1	125000	170	0.120352
(122,2679)(254689,285214)(250000,300000)	JASDQU010101264.1	275000	2559	0.037531
(109,475)(90365,90773)(50000,100000)	JASDQU010101273.1	75000	368	0.145241
(370,1414)(109206,121697)(100000,150000)	JASDQU010101281.1	125000	1046	0.065756
(3373,3744)(311838,312289)(300000,350000)	JASDQU010101286.1	325000	373	0.262301
(1629,1793)(541284,541452)(500000,550000)	JASDQU010101314.1	525000	166	0.045519
(1794,2403)(677078,677692)(650000,700000)	JASDQU010101314.1	675000	611	0.040680
(2404,2818)(726678,727108)(700000,750000)	JASDQU010101314.1	725000	416	0.014932
(2819,3115)(893370,894059)(850000,900000)	JASDQU010101314.1	875000	298	0.038017
(1234,1367)(737498,737633)(700000,750000)	JASDQU010101319.1	725000	135	0.029654
(896,1069)(63937,64113)(50000,100000)	JASDQU010101322.1	75000	175	0.043136
(992,1024)(130170,130206)(100000,150000)	JASDQU010101338.1	125000	34	0.035812
(267,1042)(145316,147913)(100000,150000)	JASDQU010101339.1	125000	777	0.009231
(34,4320)(91682,97316)(50000,100000)	JASDQU010101348.1	75000	4288	0.186110
(126,1687)(61882,72216)(50000,100000)	JASDQU010101350.1	75000	1563	0.311408
(1688,3606)(146062,148344)(100000,150000)	JASDQU010101350.1	125000	1920	0.170816
(3607,3749)(237746,237953)(200000,250000)	JASDQU010101350.1	225000	144	-0.005216
(17,196)(350004,350208)(350000,400000)	JASDQU010101353.1	375000	181	0.022103
(1089,1648)(147502,148066)(100000,150000)	JASDQU010101355.1	125000	561	0.125379
(249,302)(332550,332624)(300000,350000)	JASDQU010101357.1	325000	55	0.051098
(303,1269)(370253,371370)(350000,400000)	JASDQU010101357.1	375000	968	0.066804
(74,88)(236493,236518)(200000,250000)	JASDQU010101360.1	225000	16	0.114574
(89,737)(348904,349558)(300000,350000)	JASDQU010101360.1	325000	650	0.115266
(748,937)(472983,486869)(450000,500000)	JASDQU010101361.1	475000	191	0.024946
(717,932)(250000,276805)(250000,300000)	JASDQU010101367.1	275000	217	0.044743
(964,1182)(478459,478686)(450000,500000)	JASDQU010101368.1	475000	220	0.079999
(1540,3209)(575626,577346)(550000,600000)	JASDQU010101369.1	575000	1671	0.027571
(3210,3259)(809594,809690)(800000,850000)	JASDQU010101369.1	825000	51	0.031395
(893,1315)(279051,279725)(250000,300000)	JASDQU010101370.1	275000	424	0.035991
(1316,2850)(352377,353925)(350000,400000)	JASDQU010101370.1	375000	1536	0.168838
(1610,2349)(101557,102305)(100000,150000)	JASDQU010101376.1	125000	741	-0.004814
(2350,2434)(161872,162284)(150000,200000)	JASDQU010101376.1	175000	86	0.032576
(2435,3595)(404372,432723)(400000,450000)	JASDQU010101376.1	425000	1162	0.498984
(3596,4403)(459363,460212)(450000,500000)	JASDQU010101376.1	475000	809	0.498731
(185,1409)(122172,124350)(100000,150000)	JASDQU010101378.1	125000	1226	0.225453
(1410,3208)(167056,199555)(150000,200000)	JASDQU010101378.1	175000	1800	0.141075
(3209,3680)(201087,201560)(200000,250000)	JASDQU010101378.1	225000	473	0.019979
(42,192)(367857,368013)(350000,400000)	JASDQU010101383.1	375000	152	0.058909
(193,1378)(529370,536846)(500000,550000)	JASDQU010101383.1	525000	1187	0.468016
(1379,1849)(677530,679733)(650000,700000)	JASDQU010101383.1	675000	472	0.015943
(2987,3437)(109285,109750)(100000,150000)	JASDQU010101384.1	125000	452	0.249498
(3438,3623)(183894,184133)(150000,200000)	JASDQU010101384.1	175000	187	0.096328
(3624,3754)(231857,231994)(200000,250000)	JASDQU010101384.1	225000	132	0.023141
(1069,2003)(165545,179281)(150000,200000)	JASDQU010101385.1	175000	936	0.055826
(2004,3315)(261518,286556)(250000,300000)	JASDQU010101385.1	275000	1313	0.016089
(610,1738)(428644,429812)(400000,450000)	JASDQU010101388.1	425000	1130	0.170595
(643,916)(199725,199999)(150000,200000)	JASDQU010101390.1	175000	275	0.188829
(742,1276)(63225,66306)(50000,100000)	JASDQU010101392.1	75000	536	0.054484
(557,611)(228789,228844)(200000,250000)	JASDQU010101395.1	225000	56	0.083055
(533,561)(139373,139442)(100000,150000)	JASDQU010101404.1	125000	30	0.039290
(562,3220)(194985,197714)(150000,200000)	JASDQU010101404.1	175000	2660	0.416746
(3221,6784)(226512,247670)(200000,250000)	JASDQU010101404.1	225000	3565	0.049134
(6785,7075)(279149,279473)(250000,300000)	JASDQU010101404.1	275000	292	0.077845
(7076,8499)(311694,333567)(300000,350000)	JASDQU010101404.1	325000	1425	0.181973
(8500,9128)(520840,521497)(500000,550000)	JASDQU010101404.1	525000	630	0.281163
(9129,10067)(679726,681864)(650000,700000)	JASDQU010101404.1	675000	940	0.482618
(385,461)(102785,102864)(100000,150000)	JASDQU010101413.1	125000	78	0.005114
(462,648)(160182,163179)(150000,200000)	JASDQU010101413.1	175000	188	0.008085
(6229,6486)(94541,94803)(50000,100000)	JASDQU010101424.1	75000	259	0.416168
(42,858)(81940,82758)(50000,100000)	JASDQU010101434.1	75000	818	0.037445
(555,805)(306277,306562)(300000,350000)	JASDQU010101436.1	325000	252	0.246160
(47,343)(242933,243337)(200000,250000)	JASDQU010101439.1	225000	298	0.027731
(1023,2500)(108988,111167)(100000,150000)	JASDQU010101440.1	125000	1479	0.273548
(2501,3177)(476455,477238)(450000,500000)	JASDQU010101440.1	475000	678	0.272489
(3178,3224)(509078,509151)(500000,550000)	JASDQU010101440.1	525000	48	0.033167
(3225,4160)(560637,561572)(550000,600000)	JASDQU010101440.1	575000	937	0.395349
(4161,4808)(604034,649999)(600000,650000)	JASDQU010101440.1	625000	649	0.041086
(99,3822)(462719,469855)(450000,500000)	JASDQU010101446.1	475000	3725	0.318135
(38,237)(286016,286215)(250000,300000)	JASDQU010101447.1	275000	201	0.013647
(56,870)(140947,141845)(100000,150000)	JASDQU010101448.1	125000	816	0.702705
(871,1871)(150013,196367)(150000,200000)	JASDQU010101448.1	175000	1002	0.418404
(1872,1987)(207143,207281)(200000,250000)	JASDQU010101448.1	225000	117	0.545902
(1988,2135)(499734,499889)(450000,500000)	JASDQU010101448.1	475000	149	0.017807
(2136,4832)(557342,594529)(550000,600000)	JASDQU010101448.1	575000	2698	0.290611
(4833,6900)(619220,629535)(600000,650000)	JASDQU010101448.1	625000	2069	0.070520
(206,1361)(317661,318857)(300000,350000)	JASDQU010101449.1	325000	1157	0.072952
(353,2410)(51605,84995)(50000,100000)	JASDQU010101452.1	75000	2059	0.133378
(14,144)(101500,101746)(100000,150000)	JASDQU010101458.1	125000	132	0.061157
(145,2223)(205752,225467)(200000,250000)	JASDQU010101458.1	225000	2080	0.182278
(2224,3010)(265700,266500)(250000,300000)	JASDQU010101458.1	275000	788	0.142219
(199,459)(65262,65677)(50000,100000)	JASDQU010101465.1	75000	262	0.052748
(460,466)(286393,286400)(250000,300000)	JASDQU010101465.1	275000	8	-0.027344
(314,413)(106324,106586)(100000,150000)	JASDQU010101471.1	125000	101	0.506462
(416,1127)(107605,119625)(100000,150000)	JASDQU010101476.1	125000	713	0.019248
(1128,1247)(172522,172646)(150000,200000)	JASDQU010101476.1	175000	121	0.072104
(1248,1445)(363274,365960)(350000,400000)	JASDQU010101476.1	375000	199	0.009526
(45,358)(298860,299207)(250000,300000)	JASDQU010101481.1	275000	315	0.008867
(359,427)(308362,308450)(300000,350000)	JASDQU010101481.1	325000	70	0.061901
(428,5872)(415665,446041)(400000,450000)	JASDQU010101481.1	425000	5446	0.453408
(107,289)(234978,235161)(200000,250000)	JASDQU010101484.1	225000	184	0.593356
(249,4948)(89001,94226)(50000,100000)	JASDQU010101496.1	75000	4701	0.531661
(116,1085)(100328,121259)(100000,150000)	JASDQU010101499.1	125000	971	0.007523
(1086,1091)(582630,582659)(550000,600000)	JASDQU010101499.1	575000	7	0.035265
(1092,1179)(607709,607806)(600000,650000)	JASDQU010101499.1	625000	89	0.041440
(1180,1279)(699668,699778)(650000,700000)	JASDQU010101499.1	675000	101	0.142342
(302,1659)(292548,293975)(250000,300000)	JASDQU010101506.1	275000	1359	0.173055
(1660,1805)(392731,392974)(350000,400000)	JASDQU010101506.1	375000	147	0.024410
(1806,2116)(469832,485098)(450000,500000)	JASDQU010101506.1	475000	312	0.010527
(2117,2155)(517320,517369)(500000,550000)	JASDQU010101506.1	525000	40	0.080026
(2156,2797)(595459,596125)(550000,600000)	JASDQU010101506.1	575000	643	0.761726
(2798,5685)(618204,624520)(600000,650000)	JASDQU010101506.1	625000	2889	0.616145
(5686,5862)(680645,680821)(650000,700000)	JASDQU010101506.1	675000	178	0.017973
(5863,6047)(861097,861286)(850000,900000)	JASDQU010101506.1	875000	186	0.008882
(890,1584)(123116,125482)(100000,150000)	JASDQU010101511.1	125000	696	0.034156
(54,605)(148451,149135)(100000,150000)	JASDQU010101514.1	125000	553	0.361130
(1,561)(50686,51249)(50000,100000)	JASDQU010101522.1	75000	562	0.052386
(562,5397)(224935,230060)(200000,250000)	JASDQU010101522.1	225000	4837	0.141358
(5398,5642)(513044,513403)(500000,550000)	JASDQU010101522.1	525000	246	0.187629
(362,477)(248374,248492)(200000,250000)	JASDQU010101524.1	225000	117	0.074195
(478,571)(331321,331416)(300000,350000)	JASDQU010101524.1	325000	95	0.070883
(1020,1035)(195142,195157)(150000,200000)	JASDQU010101526.1	175000	17	0.043179
(1036,1225)(437611,437804)(400000,450000)	JASDQU010101526.1	425000	191	0.049459
(1226,1600)(561673,562048)(550000,600000)	JASDQU010101526.1	575000	376	0.001946
(319,2766)(64612,68399)(50000,100000)	JASDQU010101529.1	75000	2449	0.236376
(429,874)(205603,206058)(200000,250000)	JASDQU010101534.1	225000	447	-0.008666
(528,806)(109352,109696)(100000,150000)	JASDQU010101535.1	125000	280	0.349289
(807,812)(153047,153054)(150000,200000)	JASDQU010101535.1	175000	7	0.034761
(813,818)(299798,299809)(250000,300000)	JASDQU010101535.1	275000	7	0.034855
(819,1213)(372921,373498)(350000,400000)	JASDQU010101535.1	375000	396	0.034711
(76,103)(50000,50101)(50000,100000)	JASDQU010101538.1	75000	29	0.040968
(104,411)(691173,691488)(650000,700000)	JASDQU010101538.1	675000	309	0.027688
(747,1092)(196566,196956)(150000,200000)	JASDQU010101557.1	175000	347	0.132172
(1093,1852)(238928,239708)(200000,250000)	JASDQU010101557.1	225000	761	0.272516
(1853,2132)(376713,376998)(350000,400000)	JASDQU010101557.1	375000	281	0.041772
(2133,2231)(410986,411095)(400000,450000)	JASDQU010101557.1	425000	100	0.099223
(2232,2910)(453199,453891)(450000,500000)	JASDQU010101557.1	475000	680	0.029040
(2911,3170)(599256,599527)(550000,600000)	JASDQU010101557.1	575000	261	0.013049
(3171,3288)(678196,678318)(650000,700000)	JASDQU010101557.1	675000	119	0.082440
(82,904)(352646,353475)(350000,400000)	JASDQU010101564.1	375000	824	0.190040
(905,1430)(543992,544528)(500000,550000)	JASDQU010101564.1	525000	527	0.173185
(1431,4312)(642857,646106)(600000,650000)	JASDQU010101564.1	625000	2883	0.214003
(433,1063)(455388,456027)(450000,500000)	JASDQU010101565.1	475000	632	0.183127
(1064,1473)(624259,630360)(600000,650000)	JASDQU010101565.1	625000	411	0.289292
(1474,1911)(664298,664750)(650000,700000)	JASDQU010101565.1	675000	439	-0.020331
(374,2041)(169398,171214)(150000,200000)	JASDQU010101570.1	175000	1669	0.682623
(2042,2044)(224816,224834)(200000,250000)	JASDQU010101570.1	225000	4	0.062753
(2045,3440)(519001,520399)(500000,550000)	JASDQU010101570.1	525000	1397	0.204581
(3441,3698)(649029,649338)(600000,650000)	JASDQU010101570.1	625000	259	0.002838
(3699,4256)(667247,667804)(650000,700000)	JASDQU010101570.1	675000	559	0.017973
(4257,4679)(716542,717444)(700000,750000)	JASDQU010101570.1	725000	424	0.029452
(103,589)(95258,96772)(50000,100000)	JASDQU010101582.1	75000	488	0.038885
(266,668)(219229,219631)(200000,250000)	JASDQU010101586.1	225000	404	0.046902
(669,1772)(276320,286075)(250000,300000)	JASDQU010101586.1	275000	1105	0.183775
(1773,2340)(357129,357735)(350000,400000)	JASDQU010101586.1	375000	569	0.123358
(129,328)(314559,314786)(300000,350000)	JASDQU010101589.1	325000	201	0.028490
(418,503)(367929,368038)(350000,400000)	JASDQU010101594.1	375000	87	0.100520
(1711,2010)(311060,311476)(300000,350000)	JASDQU010101616.1	325000	301	0.021995
(885,1599)(214096,239494)(200000,250000)	JASDQU010101619.1	225000	716	0.306089
(490,634)(125226,125371)(100000,150000)	JASDQU010101622.1	125000	146	0.031077
(60,673)(228394,234498)(200000,250000)	JASDQU010101623.1	225000	615	0.010639
(308,576)(281198,281588)(250000,300000)	JASDQU010101625.1	275000	270	0.048201
(5,4534)(243229,249129)(200000,250000)	JASDQU010101631.1	225000	4531	0.088432
(4535,5077)(331606,332156)(300000,350000)	JASDQU010101631.1	325000	544	0.008563
(380,473)(329578,329828)(300000,350000)	JASDQU010101632.1	325000	95	0.057101
(184,2073)(204847,210059)(200000,250000)	JASDQU010101641.1	225000	1891	0.459179
(2074,3837)(502593,505332)(500000,550000)	JASDQU010101641.1	525000	1765	0.338106
(294,864)(62356,62939)(50000,100000)	JASDQU010101643.1	75000	572	0.267155
(561,1033)(263759,283837)(250000,300000)	JASDQU010101659.1	275000	474	0.020394
(1034,1499)(360113,368455)(350000,400000)	JASDQU010101659.1	375000	467	0.020875
(1500,1540)(433637,433680)(400000,450000)	JASDQU010101659.1	425000	42	0.125089
(1541,1973)(458333,477005)(450000,500000)	JASDQU010101659.1	475000	434	0.093151
(1974,2276)(520137,520444)(500000,550000)	JASDQU010101659.1	525000	304	0.103038
(230,936)(403674,439994)(400000,450000)	JASDQU010101667.1	425000	708	0.023287
(937,1128)(556863,590276)(550000,600000)	JASDQU010101667.1	575000	193	0.058847
(1129,1678)(608975,617665)(600000,650000)	JASDQU010101667.1	625000	551	0.027875
(1679,1681)(879993,879999)(850000,900000)	JASDQU010101667.1	875000	4	0.040402
(1682,2978)(901335,904271)(900000,950000)	JASDQU010101667.1	925000	1298	-0.000141
(2979,3494)(979350,980048)(950000,1000000)	JASDQU010101667.1	975000	517	0.012133
(1254,1682)(411844,412471)(400000,450000)	JASDQU010101677.1	425000	430	0.064845
(1683,2654)(616741,623539)(600000,650000)	JASDQU010101677.1	625000	973	0.086850
